is_spammer,id,name,verified,followers_count,follow_count,post_count,favourites_count,bi_followers_count,user_ability,followRatio,friendRatio
0,6403165923,舒贝和卡宝,0,157,760,9,3,0,2097152,4.81,0.00
0,6459584089,爱娟子和开心,0,8,98,2,0,0,0,10.89,0.00
0,5589579029,王小米的米小樂,0,31,429,2150,25,1,2097152,13.41,0.00
0,5085272999,用户riwwpbadzi,0,9,234,98,9,1,2097152,23.40,0.00
0,6836565268,王哥等我-,0,1,59,16,0,0,0,29.50,0.00
0,6689721676,用户6689721676,0,3,188,1,0,0,0,47.00,0.00
0,5581684984,嗒嗒欧尼酱,0,1,225,1,0,1,0,112.50,0.00
0,6525674637,成冬香,0,61,115,7,0,0,2097152,1.85,0.00
1,6168838248,用户6168838248,0,1,350,0,0,0,0,175.00,0.00
1,7157817010,用户7157817010,0,1,45,0,0,0,0,22.50,0.00
1,7157811425,Smile_ll19,0,1,14,0,0,0,0,7.00,0.00
1,7156887860,hazelnutse55,0,1,36,0,0,0,0,18.00,0.00
1,7156887751,晕晕晕大Tk头,0,1,34,0,0,0,0,17.00,0.00
0,5868519528,而今看山不是山,0,3,201,301,56,1,35651584,50.25,0.00
0,5704687783,用户5704687783,0,1,73,27,0,0,1048576,36.50,0.00
0,5808511012,肖鹏NeverG1veUp-96,0,8,126,1,0,2,0,14.00,0.02
1,7157815960,爱看动漫的疯女孩,0,2,684,0,0,0,0,228.00,0.00
1,7157815277,li误想剪短发05,0,1,56,0,0,0,0,28.00,0.00
0,6403682683,用户6403682683,0,1,169,2,15,0,33554432,84.50,0.00
0,6320745798,伊凡918,0,13,410,49,0,1,0,29.29,0.00
0,2832180287,甜甜的悄悄话,0,39,139,3,0,7,0,3.48,0.05
1,6465719727,用户6465719727,0,1,175,0,0,0,0,87.50,0.00
1,5449618714,刘畅48966,0,1,88,0,0,0,0,44.00,0.00
1,7156885995,用户7156885995,0,1,42,0,0,0,0,21.00,0.00
1,7084762021,用户7084762021,0,1,127,0,0,0,0,63.50,0.00
1,7157814983,小可妮O兔03,0,1,23,0,0,0,0,11.50,0.00
1,7157814606,用户7157814606,0,1,271,0,0,0,0,135.50,0.00
1,7157814749,RMiumiumiloko7,0,1,48,0,0,0,0,24.00,0.00
0,6343124708,用户6343124708,0,9,833,6,1,0,2097152,83.30,0.00
1,6827325756,用户6827325756,0,1,62,16,0,0,2097152,31.00,0.00
0,6208528824,用户6208528824,0,16,182,6,0,0,2097152,10.71,0.00
0,3202950987,昱州飞船,0,45,88,14,1,1,2097152,1.91,0.01
0,6730974331,用户6730974331,0,1,61,41,0,0,0,30.50,0.00
1,6333124385,JulieXu3590,0,9,582,0,0,0,0,58.20,0.00
1,6159723028,挥之即去200402,0,9,472,0,0,0,0,47.20,0.00
1,5409181716,行云天地间2015,0,1,40,0,0,0,0,20.00,0.00
1,7156882463,花嫁72073,0,1,112,0,0,0,0,56.00,0.00
0,6055923339,善恶的我1314,0,11,236,19,0,0,0,19.67,0.00
0,1789552314,Eric的旅途,0,452,1196,904,90,193,35651584,2.64,0.16
0,5245568535,用户5245568535,0,2,187,15,0,0,0,62.33,0.00
1,6731093085,用户6731093085,0,2,75,0,0,0,0,25.00,0.00
1,6524979282,蓝尧尾6524979282,0,13,122,0,0,0,0,8.71,0.00
0,6569951073,毛起起名字,0,1,202,5,0,0,0,101.00,0.00
0,6941234035,981遇见你,0,3,297,1,0,0,2097152,74.25,0.00
1,6396791194,用户6396791194,0,1,96,0,0,0,0,48.00,0.00
0,5241659556,史上超级无敌的帅逼木子大大,0,22,258,9,64,0,0,11.22,0.00
0,6835384173,农哥等我-,0,1,61,16,0,0,0,30.50,0.00
1,7156879563,思思潘2000,0,1,463,0,0,0,0,231.50,0.00
0,5033564947,年小苗,0,18,98,3,0,0,1024,5.16,0.00
0,6587797058,海岛连锁水疗,0,45,140,117,0,8,2097152,3.04,0.06
1,7155646098,小胖丫7879,0,2,73,0,0,0,0,24.33,0.00
1,6312712853,用户6312712853,0,1,61,0,0,0,0,30.50,0.00
1,6310131532,用户6310131532,0,1,117,0,0,0,0,58.50,0.00
0,3201912801,草泥马的小孩子,0,41,332,41,0,4,0,7.90,0.01
1,7156879728,务妹子很夏天3,0,1,33,0,0,0,0,16.50,0.00
0,6587589542,瑶拾柒,0,18,389,1,1,0,2097152,20.47,0.00
0,3883758609,听化话,0,31,78,6,0,0,0,2.44,0.00
0,5947339280,张嘉明77369,0,44,206,2,2,5,0,4.58,0.02
1,7023788676,用户7023788676,0,1,37,0,0,0,0,18.50,0.00
0,7016927688,用户7016927688,0,1,69,12,0,0,0,34.50,0.00
0,3640965407,用户3640965407,0,7,132,4,0,0,0,16.50,0.00
0,3010784097,Yanqiu111,0,14,235,52,2,4,35651584,15.67,0.02
0,6123110795,用户6123110795,0,1,273,5,0,0,0,136.50,0.00
1,6921160152,用户6921160152,0,1,229,0,0,0,0,114.50,0.00
1,7157806999,用户7157806999,0,1,21,0,0,0,0,10.50,0.00
1,6811010054,用户6811010054,0,1,128,0,0,0,0,64.00,0.00
1,6597495811,cheers29291,0,2,101,0,0,0,0,33.67,0.00
1,7157807381,luckyxc茜,0,1,21,0,0,0,0,10.50,0.00
1,6196149921,拉钩上钓1711,0,3,107,0,0,0,0,26.75,0.00
0,3918702155,唯一写过的,0,153,995,88,0,107,0,6.46,0.11
1,6016139674,用户6016139674,0,1,90,0,0,0,0,45.00,0.00
0,3918566671,南湖六姑妈1,0,13,100,12,0,2,1024,7.14,0.02
0,5390109055,电影银幕架_920,0,15,335,3,0,0,0,20.94,0.00
1,6766656651,_甜甜圈中间的圈_,0,1,94,0,0,0,0,47.00,0.00
1,7157805071,Withyou32554,0,1,36,0,0,0,0,18.00,0.00
1,5761561753,用户5761561753,0,4,58,0,0,0,0,11.60,0.00
1,6598260979,姜欣冉1372,0,1,72,0,0,0,0,36.00,0.00
0,2198991582,PMP非常三加四熊猫阿宝,0,420,568,757,195,221,2097152,1.35,0.39
1,7156875964,用户7156875964,0,1,17,0,0,0,0,8.50,0.00
1,7017590021,用户7017590021,0,4,135,11,0,0,0,27.00,0.00
1,7156875560,用户7156875560,0,2,318,0,0,0,0,106.00,0.00
1,7156876161,NA样U生活55,0,1,41,0,0,0,0,20.50,0.00
1,6556903746,用户6556903746,0,1,108,0,0,0,0,54.00,0.00
1,7156875231,魔_人小布欧07,0,1,128,0,0,0,0,64.00,0.00
0,7156844535,chen_64302,0,1,60,1,0,0,0,30.00,0.00
1,7157803068,泉子79704,0,1,170,0,0,0,0,85.00,0.00
1,7157802560,水晶心61327,0,7,458,2,0,0,0,57.25,0.00
0,6570114607,肖肖lou,0,20,134,4,2,1,0,6.38,0.01
1,5839626402,乱了年轻的心04493,0,2,65,0,0,0,0,21.67,0.00
0,6258044093,施宝华1,0,15,113,2,0,0,35651584,7.06,0.00
0,5783026741,你瞅啥呢io,0,24,258,2,1,13,1024,10.32,0.05
0,6307068810,likestoner,0,26,206,93,1,4,2097152,7.63,0.02
1,7156873634,适者生存丶JG,0,1,48,0,0,0,0,24.00,0.00
0,6504056867,18岁的静好,0,1,267,10,0,0,0,133.50,0.00
1,6546911187,用户6546911187,0,1,75,0,0,0,0,37.50,0.00
1,6126382107,过客仰望星空1240,0,1,301,2,0,0,0,150.50,0.00
